,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127
IA-LM,1.0444828,0.51435834,-0.6298753,0.6797617,0.29520318,-1.0973986,-1.478049,-1.749844,-0.5251251,0.77045584,0.37645385,-0.19329256,0.7119217,1.1000873,-0.4978642,0.18850142,0.36420605,-0.37796903,-0.79671794,-0.18365993,-0.5814387,-0.74632925,0.8896156,-0.43530142,0.72565126,-1.4897674,1.7485555,0.87505937,0.99797904,1.3519953,0.54167575,0.038846523,-1.3084311,0.10437006,-0.93163216,-1.6664101,-0.9624082,-0.90598404,-0.6359645,-0.18960683,-0.2496115,-0.14992607,0.70364505,-0.3054637,0.056643136,0.3396953,0.020812102,-0.5470053,-1.5296566,-1.1865684,1.1073421,0.090461835,1.1507944,-0.13397963,0.30009356,0.17110042,0.7402362,0.05214916,-0.8484063,-0.003141066,-1.9685128,0.04616581,-1.1867865,-1.3342243,-1.3808408,-1.1029592,0.35846624,0.5675638,0.5270195,-0.42784092,0.5675709,0.029349245,-1.3996998,1.1360072,0.52581793,-0.19145758,1.8278774,1.6494901,-0.39164424,-1.0279027,-0.9082521,-0.76833254,0.7047015,-0.0553602,-1.7183874,1.4514319,1.0361758,-0.021020161,1.8783399,1.138076,-0.7842932,-1.5915362,1.123355,1.820779,0.39691508,1.8802131,0.09630555,-1.4658349,-2.0931246,1.3090774,0.22566465,0.84062856,-0.24605347,-0.28617647,-1.3806939,1.7509947,0.51653445,-0.6666371,0.95256954,-0.13724212,1.2732095,-1.7751709,-0.14235342,-0.26450214,1.1716268,0.6632035,-0.95272046,0.25472334,-0.2826549,-0.22281235,1.0373737,1.0386862,-0.68495613,0.08835192,-0.94988275,-0.41559455,-1.9266891,-0.0703879
RT-4,0.4656132,-0.5641952,-0.28557608,-0.5699306,-0.062357232,0.31935942,-0.08163811,0.017823221,0.08346513,-0.04523832,-0.47456002,-0.15737712,0.05043224,-0.0057947487,0.56216675,-0.48400766,-0.25582314,0.2691537,-0.09776776,-0.37810066,-0.21517599,-0.25867897,-0.41600662,0.49864125,-0.11730817,-0.3579756,-0.14446394,0.19960114,-0.5451805,0.14299214,-0.08783243,-0.31551537,0.13547844,0.30481738,-0.037592918,0.6498243,-0.16297773,0.33304235,0.29246715,0.4640729,-0.12480423,0.14120759,0.08038596,-0.67261344,0.37175572,-0.44292483,0.5192024,0.10995298,0.59515864,0.037765533,-0.39384383,0.11014876,-0.2718046,-0.16199577,0.50371605,0.026352331,-0.19446538,0.6772772,-0.2831096,-0.08024521,-0.20160282,-0.1137692,-0.56988484,0.20318663,-0.040407985,0.6323406,0.05598557,0.19714303,0.36617035,0.5383892,0.11454581,-0.119262256,0.0407845,-0.10104108,0.49111584,-0.009831989,-0.3952946,0.06913396,0.6151594,0.3900515,-0.6855554,0.3219961,0.005160736,0.002133198,-0.24733678,0.5156383,0.66256386,-0.4820045,-0.15840311,0.14316028,0.13587816,0.23779126,-0.4082016,-0.1660723,0.1531884,0.1163669,0.29929203,0.10124701,-0.0019416913,0.053069964,0.2549458,0.09518251,-0.40707302,0.22652635,0.35940716,-0.49987304,-0.08959049,-0.050100155,-0.12153454,-0.4595779,-0.09123104,0.060142502,-0.180859,0.080824375,-0.47122842,-0.4209656,-0.062495857,0.12830423,-0.23572809,0.28212902,-0.37936872,0.31627524,-0.2578265,0.8664716,-0.18257351,0.014509276,0.024170948,-0.071884155
NCI-H322,0.38069615,-0.45307437,-0.68340313,-0.14459327,0.009823123,0.24458222,-0.053848915,-0.010869196,-0.163217,0.11486243,-0.61252993,-0.07067902,-0.17306644,-0.07183893,0.421796,-0.21195443,-0.26612034,0.22867349,-0.29268107,-0.39266422,-0.19152525,-0.2321165,0.1692249,0.40361744,0.026616778,-0.04702192,-0.21040298,-0.108415924,-0.3940045,0.17679022,0.024659585,-0.11212307,-0.12427844,0.14816435,0.11400398,0.35049966,-0.18343177,-0.058815647,0.27429324,-0.023683606,0.18229875,-0.14052323,0.047878623,-0.51249915,0.08943276,0.05899381,0.21921645,0.02885794,0.34245563,-0.03876079,0.12259748,-0.055242438,-0.13781604,0.07228972,0.43344173,-0.28070748,-0.21673803,0.4035852,0.016687188,0.072349176,-0.3398273,-0.3396099,-0.61889887,0.1934359,0.08578681,0.11356437,0.16206871,0.013774347,-0.11940202,0.029311553,0.17489907,0.024076998,-0.013561937,-0.316466,0.10476398,-0.20202026,-0.2634526,-0.10077817,-0.118238896,0.120086506,-0.4989567,0.47369704,0.07512528,-0.25238955,-0.2762284,0.3416625,0.45320368,-0.24468234,-0.21085635,-0.10386619,-0.13551886,0.18637224,-0.26640618,0.11096293,-0.011236743,0.069667794,0.06482948,0.2610105,-0.108897366,0.34553254,0.41829363,0.20008141,-0.3131109,0.0978726,0.25238934,-0.3149237,0.006557755,-0.012946954,0.1763526,-0.14862686,0.22857192,-0.028042581,-0.3501115,-0.10259183,-0.13374147,-0.3588504,-0.22326905,-0.032501195,-0.21851602,0.20496777,-0.20418927,0.15118866,-0.22099923,0.656579,-0.29108122,0.026281685,-0.25910184,-0.29945722
SNU-308,0.48688328,-0.40164346,-0.6831646,-0.15172997,-0.026680183,0.27710903,-0.047233347,-0.021713546,-0.19886135,0.107763715,-0.61287355,-0.057718873,-0.19611578,-0.0577048,0.40624797,-0.19996247,-0.26017597,0.29256335,-0.29130024,-0.34481528,-0.11843134,-0.23449886,0.19290999,0.4560163,0.008727241,-0.04775752,-0.15508407,-0.10898015,-0.38389638,0.25368965,0.028076142,-0.08673253,-0.078850076,0.14875822,0.08780968,0.3637453,-0.1871909,0.0010803957,0.24088255,-0.022202505,0.09878292,-0.010784614,0.04812703,-0.52850187,0.10034681,0.06849109,0.17312087,0.031924255,0.33743167,-0.06723039,0.12783048,-0.009984006,0.040935554,0.012064312,0.41875976,-0.1023997,-0.22141345,0.36795372,0.008066291,0.07179495,-0.17997715,-0.32434395,-0.6015965,0.19404525,0.047917686,0.22008827,0.19538549,0.022540305,-0.10985958,0.02818317,0.160516,0.009312853,-0.007842275,-0.28755167,0.12756847,-0.19958748,-0.3176973,-0.12822437,-0.117903106,0.29229647,-0.5687904,0.43899938,0.082687326,-0.28310642,-0.2518053,0.33467022,0.45060638,-0.27441034,-0.26010507,-0.087111264,-0.18033479,0.22323574,-0.26640922,0.1158118,-0.014178181,0.15255156,0.02741818,0.15734918,-0.09742563,0.38123524,0.42650142,0.17029281,-0.30006272,0.31486708,0.25249314,-0.30244532,0.10814908,0.009604225,0.1504884,-0.18813334,0.095733844,-0.023375774,-0.3481912,-0.092849776,-0.1091018,-0.44294605,-0.096156605,0.113036446,-0.23884287,0.21260677,-0.19788556,0.19478141,-0.20906304,0.648035,-0.362403,0.052815013,-0.23598887,-0.42603698
NCI-H1975,0.787888,1.0940503,-1.5980736,0.7311863,0.28928667,-1.0035634,-0.6383395,-0.4390602,-0.002388779,0.25328207,-1.1880662,0.025019867,-0.18448478,0.103603914,0.11410313,0.5218768,-0.16663407,0.0006967345,-0.9343207,-0.16929469,-0.07298282,-0.22705969,0.9952411,-0.3781984,0.84255236,-0.5270255,1.861044,-0.97872674,1.3124598,0.6119726,0.03981588,-0.09252447,-1.8242037,-0.1299649,-0.5616752,-1.5984659,-0.36659032,-1.1467359,0.0636988,-2.5964708,0.71464896,0.18111761,0.270154,-0.4768084,1.1259503,1.2811508,-0.45822412,0.09617254,-1.0133947,0.20138426,1.1580291,0.50232327,-0.31592605,0.0036928281,-0.28064418,-0.4677388,0.30569848,0.24001962,-0.83261555,1.9273833,-1.2954794,-0.48717713,-1.584488,-1.072856,-0.45473963,-1.4095023,0.9813181,0.5466892,-1.2858891,-0.43945286,0.54209137,-0.34817702,-1.3391006,0.5914192,0.5032409,-0.3531338,0.5661208,0.30867577,-0.93783903,-0.4685588,-1.4903966,-0.031042106,1.6259284,-0.21356796,-1.6869667,1.5482931,0.83753026,0.32249326,0.918527,0.49554372,-0.9210843,-0.9314036,0.6290555,1.1482337,-0.44011167,1.2933154,0.39750066,-0.50562537,-2.7408192,1.200114,1.0063939,0.38301247,-0.021901578,0.9066008,-1.023539,0.52333766,0.81695354,-0.58904773,0.75406533,-0.93366873,1.0050317,-1.5209448,-0.8501861,0.091645196,1.0177537,-0.7499821,-0.5136954,1.0383848,-0.01563262,-0.12766647,0.22136119,0.6828528,-0.95138234,0.6236322,-0.70866454,0.4218044,-0.9794885,-0.10913245
RPMI-8402,0.5017123,0.32806626,-0.83660007,0.90084034,-0.020588517,0.015498713,-1.0705845,-0.53847927,-0.71870637,0.97858834,-0.6789951,-0.44153875,0.55409986,0.8808514,-1.3335675,-0.1021698,-0.4091551,0.026008576,-1.2346466,-0.8037015,-0.14923081,-0.97024673,0.3169921,-0.173475,-0.021886416,-0.03260134,0.6668664,-0.48168194,0.060751088,1.3737826,0.30931696,-0.6307622,-1.6149498,0.47979254,-0.19278836,-0.82881445,-0.24677877,0.05655039,-0.21374169,0.99561536,0.34155947,0.06598041,0.37824717,-1.0163348,-0.58936775,0.56008595,-0.093402274,-0.56888175,-1.2843295,-0.2800857,1.1981972,-0.14162928,1.1136574,-1.0160011,1.5137086,0.07749827,1.1956437,0.48871708,-1.1346192,-0.31202957,-1.0617623,-0.4033603,-0.8971932,0.07374459,0.23162602,-0.44997862,1.3770341,0.33323967,0.30725893,-0.34587076,0.43274072,0.6296665,-0.591315,0.30062726,-0.15062319,-1.4806308,0.24625131,0.1009457,-0.45817783,-1.0036609,-0.15827641,0.18815467,0.4422739,0.04982353,-0.5100499,0.23430249,0.7798945,0.19253738,0.05627472,-0.38851255,-0.5463914,-0.4612608,0.711314,1.0908138,-0.6024258,1.4634091,-0.93184036,0.720683,-0.5440128,0.77175874,2.1017108,0.8132667,-0.411952,0.35856643,-1.327493,1.1474737,0.16632771,0.7231725,-0.09260269,0.2230679,0.4539983,-1.3442428,-0.43759036,-0.27746046,0.36001655,0.064552926,-1.2913641,0.043963578,-1.5256697,-0.12725337,0.09786542,1.8831546,-0.096396625,0.20656554,-1.386422,-0.9818073,-1.2767155,0.59840107
NCI-H1703,0.21992542,1.0293288,0.5938668,1.177257,-0.25421053,-1.3470774,-1.3052835,-0.16556583,0.3141391,0.37417397,0.06580202,0.15550488,0.84771156,0.48266318,-0.72547674,0.3406903,0.50832343,0.32254195,-0.44642362,0.5522269,-0.21244678,-0.26716715,0.85795206,-0.3525948,0.7531299,-0.8492627,2.7392473,1.2493253,1.5449189,0.70492804,0.22304638,-0.31757906,-2.0263672,-0.24608819,-0.98162764,-1.4497017,-0.6054735,-0.47072595,-0.18340623,-0.97977245,0.27119845,-0.5429029,0.44718012,-0.46375555,0.8158343,0.25238818,-0.54476756,1.3438097,-1.1794602,-0.11084728,0.63692856,0.22749871,0.4587021,-0.04794618,-0.72717345,-0.54165906,0.44007504,0.23196791,-0.34525427,0.6847404,-0.50548524,0.4190973,-0.48100173,-1.7387395,-1.0260224,-1.0067701,0.7176157,0.5098433,0.32881713,0.044168003,-0.26465267,-0.64956486,-1.8494465,1.7970618,1.0656734,0.0137440935,1.7829802,2.0595317,-0.49498263,-0.7899877,-1.395498,-0.99986464,1.5558697,-0.36438394,-0.89631474,1.269599,1.1058079,-0.09434505,1.9146477,1.4562895,0.24011788,-1.0831069,-0.2111467,0.9934314,0.05912265,1.9770805,0.20481174,-0.580622,-2.0471435,0.21556556,0.58416,0.05368944,-0.11931496,0.10834438,-1.2163963,1.719278,-0.15977526,-0.6117999,-0.06254098,-0.62454987,0.608672,-1.3232687,-0.49535474,0.95588666,0.32970497,0.26140088,-0.3148863,0.8207627,-0.8407184,-1.0601684,0.6878782,1.8017112,-0.41205612,0.8099044,-0.077891305,-0.23011975,-1.2024475,1.1104172
HDLM-2,0.47987607,-0.12696356,-0.93617785,0.07393218,-0.0140415775,-0.18556245,0.4311509,-0.072589554,0.049779005,-0.4112008,-0.9492027,0.09101507,-0.4778521,-0.34821162,1.0064274,-0.10732555,0.009433203,0.00891116,-0.19517967,-0.5996829,0.082688764,-0.20229508,-0.22857967,0.4238506,0.19398637,0.0983869,0.047994826,-0.5754576,-0.15656455,0.07378168,-0.4852587,-0.14458187,-0.0646427,0.16785018,0.12641867,0.5069562,-0.040188037,-0.20187493,0.31633618,-0.9740859,0.22848055,0.17808981,-0.13457087,-0.33142468,0.7573888,0.37552482,0.063230544,0.30058756,0.7250583,0.12913305,-0.2145629,-0.151914,-0.58083814,0.1301697,-0.0002804771,-0.023924544,-0.5642493,0.4778486,-0.25468293,0.9284072,-0.0845403,-0.35176972,-0.88830847,0.07405685,0.41413367,0.44807705,0.21510497,0.2009362,-0.48610052,0.2928261,0.32453424,-0.46449465,-0.2423795,-0.4152571,0.28964025,-0.10648968,-0.57029647,-0.462906,0.038685296,0.1227337,-0.8599114,0.44737324,0.14146799,-0.35019904,-0.50215334,0.3285177,0.24496174,-0.08232382,-0.39932963,-0.03344639,0.19895236,0.26502463,-0.39817894,-0.24780826,-0.15220787,-0.21633899,0.721446,0.007035505,-0.55657977,0.5930655,0.18292299,0.01699239,-0.19711198,0.50287586,0.26268816,-1.0350978,0.45738015,0.036942642,0.27330878,-0.8381386,-0.011893271,0.12025418,-0.60361964,-0.094233505,-0.18109752,-0.90137196,0.08477825,0.2551278,0.06992689,0.34441742,-0.09976104,-0.18877225,-0.36618024,0.92252,-0.021571696,0.6734967,0.40311024,-0.4070002
NCI-H2170,0.393311,-0.44936296,-0.68248796,-0.1602685,0.015037198,0.23773107,-0.0745755,0.00047550537,-0.21183765,0.12210781,-0.61232066,-0.07096362,-0.3164037,-0.07295695,0.42986852,-0.1958519,-0.25311202,0.22560719,-0.29216427,-0.31181857,0.014393479,-0.19907066,0.077951655,0.3974471,0.056432642,-0.04571556,-0.18952374,-0.10610011,-0.3952571,0.20510523,0.0018899434,-0.121390596,-0.17882743,0.14783661,0.09865508,0.3662239,-0.17143682,-0.055904385,0.25490585,-0.01756718,0.16249724,0.123300806,0.036666833,-0.53410923,0.091116026,0.06377656,0.2648996,0.025681902,0.345884,-0.058242016,0.1265272,0.013303357,-0.11790089,-0.18213221,0.4220249,-0.11990628,-0.24160123,0.40060762,0.0158684,0.07158069,-0.29826987,-0.276776,-0.61205405,0.1980317,0.15450634,0.20487134,0.16401757,0.0041970704,-0.10331025,0.024279188,0.18380429,-0.029685892,-0.013459431,-0.30455333,0.09954004,-0.20008634,-0.315184,-0.11461394,-0.11781179,0.18279149,-0.53144807,0.48444968,0.098625384,-0.09370068,-0.27456725,0.28753728,0.4246242,-0.27667132,-0.30787742,-0.022434123,-0.108983815,0.23141986,-0.26639867,0.06894545,-0.0123387985,0.008102559,0.13510507,0.16630353,-0.12024674,0.41049397,0.4300289,0.09876688,-0.3118963,0.3911454,0.2517711,-0.31709412,0.08192879,-0.017453104,0.1431507,-0.2612228,0.17366873,-0.07086302,-0.32537058,-0.096926704,-0.113892496,-0.34552628,-0.18080206,-0.04546987,-0.20747072,0.20945849,-0.21597824,0.18716829,-0.2492095,0.6397388,-0.27539396,0.084710166,-0.27414456,-0.4422066
Jurkat E6.1,0.43229035,-0.4159131,-0.682837,-0.1477805,0.046699416,0.26330498,-0.077488616,-0.03576144,-0.20063484,0.1415608,-0.61253583,-0.0717859,-0.27066508,-0.012283567,0.40512162,-0.20335479,-0.24157673,0.3071351,-0.29135218,-0.29867175,-0.022243083,-0.28452417,0.024929881,0.3708822,0.10091453,-0.0505309,-0.17836313,-0.11035007,-0.3862797,0.26364145,-0.023238575,-0.09768678,-0.13684936,0.14960174,0.07243998,0.35701805,-0.18861893,0.038719606,0.25874168,-0.02171876,0.18244278,0.009455031,0.039822686,-0.51232374,0.10611536,0.047894616,0.16841216,-0.00016390253,0.3283717,-0.09774748,0.1175026,-0.04396808,-0.015940038,0.057450708,0.41065395,-0.025381383,-0.1931047,0.36902982,0.008233558,0.071968645,-0.19709074,-0.26653373,-0.6143416,0.1555259,0.093486175,0.121805385,0.17535576,0.033077773,-0.109315366,0.027959434,0.26776868,0.04092337,-0.0074992864,-0.27969688,0.13212694,-0.20117435,-0.28437883,-0.11310852,-0.11687081,0.17347871,-0.56384754,0.4681565,0.06604406,-0.15969332,-0.27543092,0.3097067,0.47503942,-0.31024367,-0.24133965,-0.050601877,-0.18950512,0.20471105,-0.26640642,0.06986462,-0.018278413,0.08530296,-0.09492391,0.19858354,-0.15250868,0.34375864,0.41655725,0.16336766,-0.27557153,0.123016216,0.25326702,-0.2995658,0.1729365,-0.00612718,0.1815915,-0.3594745,0.15310042,-0.04245089,-0.38717583,-0.11800059,-0.12588544,-0.39887866,-0.11529647,-0.037798796,-0.22065604,0.20300736,-0.21611474,0.23650217,-0.2662438,0.6244119,-0.29064968,0.03599946,-0.26050046,-0.3815197
SK-CO-1,0.76254255,-0.26469275,-0.69724226,0.09083401,0.35324204,-0.42552227,0.13061981,-0.38661504,0.1008138,-0.7257777,-0.57617813,0.09275477,-0.3638043,-0.59942025,1.0391859,-0.04344166,0.4096658,-0.33106592,-0.10635135,-0.44711834,0.16992211,-0.3478894,-0.2238506,0.24421814,0.07632811,-0.17374185,0.027503613,-0.4239506,0.3188581,0.18996327,-0.24560006,0.08169654,0.06363207,0.12118222,0.082817905,0.40438554,-0.31000197,-0.30247003,0.06825192,-1.0089353,0.2931243,0.2809599,-0.05422978,0.15093753,0.82962257,0.20400852,0.35772255,0.08503192,0.54091454,-0.27719447,-0.12377484,-0.41978163,-0.23614246,0.16234788,0.042075645,0.027060209,-0.42643067,0.15196577,-0.51169986,0.7475306,-0.15945987,-0.5128797,-0.9663442,-0.32420385,-0.057923194,0.30061397,-0.053089242,0.11139698,-0.49984458,0.37468946,0.47620606,-0.26923132,-0.22201358,-0.15389514,0.2279644,0.27654225,-0.1899012,-0.38950878,0.30017447,-0.15795979,-0.91719174,0.331119,-0.27293906,-0.52888244,-0.8993531,0.20401202,0.31460524,-0.005620382,-0.2338566,0.52844334,0.21636084,0.15588522,-0.09402956,-0.05828157,0.024918184,-0.14682958,0.8001094,-0.71075994,-0.6686648,0.5072566,-0.5963781,-0.016953897,0.23205584,0.104796655,0.008419557,-1.1301802,0.28836432,0.25049317,0.5868056,-0.6440105,0.03980025,-0.27266628,-0.43539947,-0.05820194,0.25996828,-0.4617893,-0.06145935,0.2685847,0.34977284,0.2634253,0.15360944,-0.57533765,-0.26096994,0.71765566,-0.34209538,0.6965926,-0.044384487,-0.35288197
HCC78,0.46026796,-0.42654765,-0.68267965,-0.14722306,-0.02848498,0.268283,-0.004642606,-0.019588152,-0.20147885,0.13182923,-0.6127063,-0.060231786,-0.23946641,0.055119395,0.41951796,-0.2055792,-0.28780228,0.33559364,-0.29161045,-0.42064136,-0.03828755,-0.1935827,0.119931065,0.45899144,0.04394684,-0.044444703,-0.22091177,-0.11596286,-0.38538855,0.18976814,0.011203061,-0.10098894,-0.07015778,0.14852934,0.114951946,0.37110797,-0.17938483,0.028837359,0.2633263,-0.010040071,0.22859882,0.009630416,0.047575917,-0.5089267,0.09361552,0.06786411,0.21642275,-0.008521149,0.37747973,-0.03957232,0.17969736,-0.023710253,0.12680316,-0.23251641,0.4384126,-0.12569591,-0.23444542,0.38165626,0.011944516,0.07222579,-0.38803023,-0.28505266,-0.5748849,0.16174999,0.13110812,0.13312535,0.14948362,0.08210133,-0.11105125,0.023466881,0.19434427,-0.057649687,0.0083960295,-0.34171295,0.12217487,-0.16898367,-0.2964131,-0.119112864,-0.118713796,0.18022871,-0.5601302,0.48315692,0.12990424,-0.120505415,-0.26733187,0.45338777,0.43594268,-0.2923833,-0.21323854,-0.088420875,-0.18600489,0.20417233,-0.2663997,0.12232488,-0.013865189,0.09441916,0.03222061,0.26348692,-0.105169915,0.2823289,0.41174826,0.18154155,-0.31534213,0.20319994,0.25374624,-0.29811734,0.34850273,-0.0132941725,0.12708293,-0.14820835,0.1417785,-0.04833865,-0.3235185,-0.12747175,-0.087029636,-0.36865473,-0.22799557,-0.0764834,-0.24743691,0.20698993,-0.21916379,0.22354946,-0.22370133,0.6727787,-0.32908395,0.039067883,-0.23783067,-0.38820204
CHP-212,0.08447231,-0.34172297,-0.80992883,-0.52256835,-0.5391092,0.6545565,0.2443423,0.39193085,0.3757503,0.23223346,-1.0100098,-0.22774363,-0.22408152,0.13710776,0.58015245,-0.5198941,-0.63074994,0.80425924,-0.22067216,-0.5428002,-0.2008069,0.20653728,-0.18171257,0.8422652,0.003572721,0.14803451,-0.043389354,0.16891503,-0.8152738,-0.43045262,-0.26075143,-0.36040652,-0.24317256,0.12144491,-0.0134061575,0.81409633,-0.056683857,0.5153476,1.0231156,-0.07566161,0.13635203,-0.109780475,0.061301354,-1.3908526,0.41527414,-0.2144895,0.17945878,0.75115794,0.84342057,0.55908054,-0.5019649,0.62765247,-0.7303862,-0.009292617,0.4285155,-0.14400205,-0.64609766,1.0304434,0.23697658,0.3320646,0.020366192,-0.086998455,-0.32425094,0.5115786,0.5702081,0.7410369,0.18231322,0.3394209,0.31320074,0.3908324,-0.018531468,-0.35026434,0.010418771,-0.5169481,0.680937,-0.55876005,-0.83380175,0.059141792,-0.03705602,0.81999385,-1.0052285,0.45991233,0.5129293,-0.13717818,0.24819331,0.8293428,0.8305097,-0.70199186,-0.28939784,-0.40755415,-0.11612488,0.53815866,-1.124351,-0.2400008,-0.06259992,-0.1622529,-0.12072201,1.2152169,-0.25334102,0.01482214,1.3992501,0.0019450905,-0.81367373,0.6804855,1.0728302,-0.40794364,0.09233017,-0.5266347,-0.540715,-0.30075622,-0.16678219,0.54702127,-0.41563416,0.36773673,-0.82218266,-0.9124986,0.110728,0.25439897,-0.56014854,0.13707869,-0.6609647,0.8620016,-0.3343007,1.16574,-0.25485146,0.006646711,0.3308227,0.014789246
ABC-1,0.64416194,-0.31053656,0.30212265,-1.1164545,0.25058255,0.9064915,0.089499906,1.3408307,-0.714264,0.19611646,-0.4510135,0.19167046,0.118373066,-0.053424776,-0.64663357,0.47932455,-1.547424,0.6667725,-0.3214888,0.48471496,-0.58815485,-0.23706159,0.47701946,-0.9726419,-0.36673552,-0.3399682,-0.43891448,-0.4826586,-0.9061419,0.09828389,0.76150024,-0.63108224,0.25874653,-0.23736203,0.10655663,-0.33489615,0.91415924,0.6232907,-0.6078617,-0.04880528,-0.10909601,-0.41131496,-0.409815,-0.119445674,0.0077108815,-0.1942621,-0.19722019,-0.31198484,0.39351505,1.0967169,0.6173415,-0.060827047,-0.39060742,0.21639317,-0.30008706,-0.13500693,0.24057128,0.029687067,0.8615546,0.13242894,0.20866105,-0.1707543,-0.608944,0.17806192,-0.7181733,-0.59747607,0.20065902,-0.1277839,-1.4778985,-0.42447197,-0.8287728,0.5165744,0.23119576,0.6602193,0.35532093,0.7693337,-0.2396712,0.40369785,0.08294373,0.82377285,-0.14451149,0.70557,1.2378327,-0.13117996,0.0682446,-0.08484509,0.09559607,-0.226787,-0.35084635,0.0574249,-0.034708314,0.1493795,0.3508121,-0.61309355,-0.29493615,-0.07277478,-0.07958312,-0.7561514,0.8264324,-0.15756686,-0.50874114,0.21632263,-0.19515876,-0.51136327,-0.55073935,0.69540775,-0.27602494,0.14866196,-0.21063808,-1.1925943,0.064885154,0.16484335,-0.3088441,-0.22788492,-0.44399384,-0.85210115,0.62845737,-0.008931942,-0.03577449,0.37033844,-1.1918993,-0.2053769,0.0051200986,0.67469895,0.44721127,0.20535797,-0.42177576,-0.24696884
NCI-H1648,0.378448,-0.44236916,-0.68204033,-0.1830374,0.0010907531,0.24829039,-0.009351935,-0.01943945,-0.20579812,0.17493783,-0.6127389,-0.053940013,-0.21451613,0.024583466,0.42771763,-0.196696,-0.2905745,0.26785868,-0.29205334,-0.33481818,-0.26530734,-0.20542389,0.09566106,0.3393801,0.03410601,-0.04831734,-0.24050856,-0.100645125,-0.39594954,0.23725086,-0.008286345,-0.17074674,-0.12237422,0.14907387,0.091102764,0.36334366,-0.18109457,0.01891547,0.26620013,-0.021279534,0.19705376,-0.016985508,0.028824806,-0.5211526,0.10501708,0.060758725,0.1925289,0.042639237,0.38662666,-0.029951539,0.09961353,-0.022395477,0.083790764,0.011836734,0.45706806,-0.065833375,-0.22027117,0.39914197,0.017834915,0.07060006,-0.33797464,-0.35756996,-0.6157365,0.15127218,0.11520306,0.19072387,0.18137024,0.036261883,-0.10053459,0.027932398,0.22087876,-0.10508461,0.009434734,-0.3000303,0.11055909,-0.20397231,-0.30510923,-0.1066553,-0.11801742,0.2197551,-0.5315694,0.4611384,0.12535603,-0.035789296,-0.27338475,0.3424425,0.42971873,-0.28686807,-0.2912337,-0.04864214,-0.080494285,0.1928737,-0.26640207,0.08857098,-0.015467815,0.12703419,0.094235756,0.2029455,-0.123892225,0.2511507,0.4378956,0.13300721,-0.2677723,0.38879573,0.2518657,-0.33233973,0.12084713,0.0044705374,0.15901637,-0.21464203,0.14996156,0.00897833,-0.32440844,-0.102394685,-0.10006359,-0.3638802,-0.12438148,-0.05573436,-0.23639025,0.2028629,-0.23138231,0.14166984,-0.26530984,0.62606925,-0.21264267,0.016523257,-0.25438696,-0.31033027
LN-464,0.37729374,-0.44956595,-0.6840897,-0.12370888,0.0005093224,0.25462922,-0.08241063,-0.018757418,-0.1950983,0.14762911,-0.61276406,-0.11062091,-0.26516718,-0.07124824,0.43319076,-0.21517785,-0.28016332,0.22442128,-0.29202428,-0.39060706,-0.0746626,-0.2331116,0.13805568,0.31572434,0.10538562,-0.043694194,-0.22528614,-0.113985404,-0.39327726,0.18172333,0.03212527,-0.113923706,-0.12737666,0.14779818,0.097600535,0.36613208,-0.18329652,-0.0078868065,0.2610888,-0.021526467,0.17678557,-0.010143703,0.035994723,-0.51724225,0.091388226,0.051184103,0.05401536,0.0014227619,0.34292,-0.02948223,0.14234354,-0.032513183,-0.036814474,-0.030047037,0.44085965,0.024394505,-0.22602174,0.3899619,-0.0010506622,0.07109965,-0.32210892,-0.29901746,-0.5974251,0.1198089,0.07457982,0.17212851,0.1636951,0.013359623,-0.11661018,0.025653567,0.188268,0.0890666,-0.008987744,-0.31484604,0.11694043,-0.1756609,-0.27741432,-0.123364344,-0.11894647,0.09714204,-0.530124,0.51183134,0.097936735,-0.038422093,-0.2794463,0.3915182,0.46672475,-0.28248924,-0.2555616,-0.04143964,-0.080518916,0.18568544,-0.26640376,0.12612042,-0.01291811,0.081216395,-0.01971351,0.16742016,-0.15255353,0.34331608,0.42446706,0.108911954,-0.3054462,0.15385644,0.25364813,-0.34967998,0.096308425,-0.0072147623,0.09308851,-0.22362706,0.14240703,-0.01737663,-0.33685932,-0.106445394,-0.10962121,-0.3678568,-0.11549234,-0.061791662,-0.22113183,0.20747006,-0.16431558,0.26334876,-0.22369616,0.6549969,-0.23140359,0.03484121,-0.2693244,-0.4295735
